"1","1493398154","11","1","You need to use brackets: my_list = []",""
"2","1493088154","35","1","Look it up in the Python docs",""
"3","1493092432","82","57","You can use the drawing plugin!4","1628006231","0","","ImmutableMultiDict([])",""
"4","1628006240","0","","ImmutableMultiDict([])",""
"5","1628006767","0","","",""
"6","1628006931","0","","",""
"7","1628007011","0","","",""
"8","1628007317","0","","['New Answer! ']",""
"9","1628007360","0","","Solid",""
"10","1628007494","0","1","You need help gurl ",""
"11","1628007508","2","3","SHUT UP BITCH ",""
"12","1628009912","0","1","lashdfkfjhasdlhklasfd",""
"13","1628699718","3","2","Emerson tried to input a new answer here :) ",""
"14","1628699728","0","2","Emerson tried to input a new answer here :) ",""
"15","1628699838","0","2","Emerson tried to input a new answer here :) ",""
"16","1628700151","0","2","Emerson tried to input a new answer here :) ",""
"17","1628700230","0","2","test",""
"18","1628700347","0","2","test2",""
"19","1628700401","0","2","New test",""
"20","1628700416","0","1","WHAT KIND OF ANSWER IS THAT? YOURE TOXIC! ",""
"21","1628700427","0","1","sorry not sorry",""
"22","1628701408","0","1","Just testing the submit ",""
"23","1629214039","0","1","You SUCK",""
"24","1629822564","0","7","2222222222222222222222222",""
"25","1629822696","0","7","333333333333",""
"26","1629822842","0","8","33333333333333333",""
"27","1629822845","0","8","33333333333333333",""
"28","1629824842",1,"6","213213213213",""
"29","1629824846","0","6","12312312312",""
"30","1629824849","0","6","321312",""
"31","1629824996","0","1","you dont suck!",""
"32","1629825053","3","4","new, anwesrs",""
